#country,#company,#project,#companyPayment+type,#companyPayment+year,#companyPayment+currency,#companyPayment+value
Congo,Tullow,M’Boundi,Production entitlements,2014,BBLS,282000.0
Congo,Tullow,,Production entitlements,2014,BBLS,282000.0
Congo,Tullow,CI-103,Infrastructure improvement payments,2014,USD,256000.0
Congo,Tullow,CI-26 Espoir,Production entitlements,2014,BBLS,203000.0
Congo,Tullow,CI-26 Espoir,Production entitlements,2014,USD,1.5112E7
Congo,Tullow,,Infrastructure improvement payments,2014,USD,207000.0
Côte d’Ivoire,Tullow,,Production entitlements,2014,BBLS,203000.0
Côte d’Ivoire,Tullow,,Production entitlements,2014,USD,1.5112E7
Côte d’Ivoire,Tullow,,Infrastructure improvement payments,2014,USD,463000.0
Côte d’Ivoire,Tullow,Ceiba,Production entitlements,2014,BBLS,230000.0
Côte d’Ivoire,Tullow,Okume Complex,Production entitlements,2014,BBLS,521000.0
Côte d’Ivoire,Tullow,,Income taxes,2014,USD,4.3659E7
Equatorial Guinea,Tullow,,Production entitlements,2014,BBLS,751000.0
Equatorial Guinea,Tullow,,Income taxes,2014,USD,4.3659E7
Equatorial Guinea,Tullow,Echira,Royalties,2014,USD,2166000.0
Equatorial Guinea,Tullow,Etame,Royalties,2014,USD,5612000.0
Equatorial Guinea,Tullow,Limande,Royalties,2014,USD,7157000.0
Equatorial Guinea,Tullow,Niungo,Royalties,2014,USD,5404000.0
Equatorial Guinea,Tullow,Tchatamba,Royalties,2014,USD,1.3315E7
Equatorial Guinea,Tullow,Turnix,Royalties,2014,USD,1333000.0
Equatorial Guinea,Tullow,,Income taxes,2014,USD,4.4184E7
Equatorial Guinea,Tullow,,Licence fees,2014,USD,34000.0
Equatorial Guinea,Tullow,Oba,Royalties,2014,USD,1946000.0
Equatorial Guinea,Tullow,,Income taxes,2014,USD,5071000.0
Gabon,Tullow,,Income taxes,2014,USD,4.9255E7
Gabon,Tullow,,Royalties,2014,USD,3.6933E7
Gabon,Tullow,,Licence fees,2014,USD,34000.0
Gabon,Tullow,Jubilee,Production entitlements,2014,BBLS,658000.0
Gabon,Tullow,Jubilee,Infrastructure improvement payments,2014,USD,1649000.0
Gabon,Tullow,,Income taxes,2014,USD,1.14988E8
Gabon,Tullow,,Licence fees,2014,USD,52000.0
Gabon,Tullow,,Infrastructure improvement payments,2014,USD,524000.0
Ghana,Tullow,,Production entitlements,2014,BBLS,658000.0
Ghana,Tullow,,Income taxes,2014,USD,1.14988E8
Ghana,Tullow,,Licence fees,2014,USD,52000.0
Ghana,Tullow,,Infrastructure improvement payments,2014,USD,2173000.0
Ghana,Tullow,,Infrastructure improvement payments,2014,USD,43000.0
Guinea,Tullow,,Infrastructure improvement payments,2014,USD,43000.0
Guinea,Tullow,Block C-6,Bonus payments,2014,USD,8800000.0
Guinea,Tullow,Block C-10,Bonus payments,2014,USD,4929000.0
Guinea,Tullow,PSC B (Chinguetti EEA),Production entitlements,2014,BBLS,61000.0
Guinea,Tullow,,Licence fees,2014,USD,51000.0
Mauritania,Tullow,,Production entitlements,2014,BBLS,61000.0
Mauritania,Tullow,,Bonus payments,2014,USD,1.3729E7
Mauritania,Tullow,,Licence fees,2014,USD,51000.0
Mauritania,Tullow,South Omo,Licence fees,2014,USD,176000.0
Mauritania,Tullow,South Omo,Infrastructure improvement payments,2014,USD,262000.0
Mauritania,Tullow,,Infrastructure improvement payments,2014,USD,64000.0
Ethiopia,Tullow,,Licence fees,2014,USD,176000.0
Ethiopia,Tullow,,Infrastructure improvement payments,2014,USD,326000.0
Ethiopia,Tullow,,Licence fees,2014,USD,158000.0
Ethiopia,Tullow,,Infrastructure improvement payments,2014,USD,732000.0
Kenya,Tullow,,Licence fees,2014,USD,158000.0
Kenya,Tullow,,Infrastructure improvement payments,2014,USD,732000.0
Kenya,Tullow,Block 3111,Licence fees,2014,USD,150000.0
Kenya,Tullow,,Licence fees,2014,USD,15000.0
Madagascar,Tullow,,Licence fees,2014,USD,165000.0
Madagascar,Tullow,,Income taxes,2014,USD,1000.0
Mozambique,Tullow,,Income taxes,2014,USD,1000.0
Mozambique,Tullow,,Licence fees,2014,USD,100000.0
Mozambique,Tullow,,Infrastructure improvement payments,2014,USD,50000.0
Namibia,Tullow,,Licence fees,2014,USD,100000.0
Namibia,Tullow,,Infrastructure improvement payments,2014,USD,50000.0
Namibia,Tullow,,Income taxes,2014,USD,670000.0
South Africa,Tullow,,Income taxes,2014,USD,670000.0
South Africa,Tullow,,Licence fees,2014,USD,11000.0
Uganda,Tullow,,Licence fees,2014,USD,11000.0
Ireland,Tullow,Walton Morant,Licence fees,2014,USD,128000.0
Jamaica,Tullow,,Licence fees,2014,USD,128000.0
Jamaica,Tullow,,Income taxes,2014,USD,6157000.0
Jamaica,Tullow,,Licence fees,2014,USD,654000.0
Netherlands,Tullow,,Income taxes,2014,USD,6157000.0
Netherlands,Tullow,,Licence fees,2014,USD,654000.0
Netherlands,Tullow,,Income taxes,2014,USD,-1.98764E8
Norway,Tullow,,Income taxes,2014,USD,-1.98764E8
Norway,Tullow,,Licence fees,2014,USD,20000.0
Norway,Tullow,,Infrastructure improvement payments,2014,USD,14000.0
Pakistan,Tullow,,Licence fees,2014,USD,20000.0
Pakistan,Tullow,,Infrastructure improvement payments,2014,USD,14000.0
Suriname,Tullow,Murdoch,Licence fees,2014,USD,275000.0
Suriname,Tullow,Ketch,Licence fees,2014,USD,763000.0
Suriname,Tullow,Schooner,Licence fees,2014,USD,1002000.0
Suriname,Tullow,,Income taxes,2014,USD,6369000.0
Suriname,Tullow,,Licence fees,2014,USD,571000.0
UK,Tullow,,Income taxes,2014,USD,6369000.0
UK,Tullow,,Licence fees,2014,USD,2611000.0
Uruguay,Tullow,TOTAL,Production entitlements,2014,BBLS,1955000.0
Uruguay,Tullow,TOTAL,Production entitlements,2014,USD,1.5112E7
Uruguay,Tullow,TOTAL,Income taxes,2014,USD,2.2335E7
Uruguay,Tullow,TOTAL,Royalties,2014,USD,3.6933E7
Uruguay,Tullow,TOTAL,Dividends,2014,USD,0.0
Uruguay,Tullow,TOTAL,Bonus payments,2014,USD,1.3729E7
Uruguay,Tullow,TOTAL,Licence fees,2014,USD,4160000.0
Uruguay,Tullow,TOTAL,Infrastructure improvement payments,2014,USD,3801000.0
Uruguay,Tullow,AFRICA ONLY,Production entitlements,2014,BBLS,1955000.0
Uruguay,Tullow,AFRICA ONLY,Production entitlements,2014,USD,1.5112E7
Uruguay,Tullow,AFRICA ONLY,Income taxes,2014,USD,2.08573E8
Uruguay,Tullow,AFRICA ONLY,Royalties,2014,USD,3.6933E7
Uruguay,Tullow,AFRICA ONLY,Dividends,2014,USD,0.0
Uruguay,Tullow,AFRICA ONLY,Bonus payments,2014,USD,1.3729E7
Uruguay,Tullow,AFRICA ONLY,Licence fees,2014,USD,747000.0
Uruguay,Tullow,AFRICA ONLY,Infrastructure improvement payments,2014,USD,3787000.0
Uruguay,Tullow,DEVELOPING COUNTRIES,Production entitlements,2014,BBLS,1955000.0
Uruguay,Tullow,DEVELOPING COUNTRIES,Production entitlements,2014,USD,1.5112E7
Uruguay,Tullow,DEVELOPING COUNTRIES,Income taxes,2014,USD,2.08573E8
Uruguay,Tullow,DEVELOPING COUNTRIES,Royalties,2014,USD,3.6933E7
Uruguay,Tullow,DEVELOPING COUNTRIES,Dividends,2014,USD,0.0
Uruguay,Tullow,DEVELOPING COUNTRIES,Bonus payments,2014,USD,1.3729E7
Uruguay,Tullow,DEVELOPING COUNTRIES,Licence fees,2014,USD,895000.0
Uruguay,Tullow,DEVELOPING COUNTRIES,Infrastructure improvement payments,2014,USD,3801000.0